,noble,farmer,exile,criminal,monastic,military,scholar,wilds,labourer,merchant
witch,Prove that folk magic is more powerful than the house mages,Protect the land with old folk magic the church forbids,Find a coven that will finally call you kin,Curse the person who got away with wronging you,Openly practice the magic they called heresy,Curse the war machine that used you as a weapon,"Prove hex-craft is a science, not superstition",Become the witch the old stories warned children about,Gain power so no one works you to the bone again,Curse the guild that blacklisted your family's name
cleric,Use a divine mandate to reform a corrupt house,Bring the harvest blessing back to a dying land,Find the god who never explained your exile,Earn an absolution only the divine can grant,Question doctrine without losing your faith,"Heal what the war broke, starting with yourself",Reconcile scripture with what you've actually witnessed,Bring faith to a place that has never known temples,Prove devotion isn't reserved for the idle rich,Fund a temple no one can buy influence over
mage,Build power that outlasts an empty title,Master magic so they never take everything again,Find the arcane order that ties you to home,Wield spells precise enough to never need violence again,Chase a kind of power scripture wouldn't teach,End wars from a distance so no one has to march again,Prove the theorem everyone says is unprovable,Bottle the wild magic of home before it disappears,Find a magic that doesn't break your back to use,Sell spells too rare for any rival to undercut
druid,Return the family estate's land to the wild it paved over,"Teach a dying land to grow again, without coin or contracts",Find a forest as serene as home,Cut all ties so you can disappear into the wild forever,Find deeper meaning in the wordless faith of the grove,Never wield a weapon of violence again,Record nature's true laws before civilization erases them,"Become the wild's last guardian, whatever it costs",Drown the quarries and mines to bring peace back to the stone,Stop the trade roads cutting through sacred groves
ranger,Earn worth through skill instead of blood,Protect the homestead's borders better than anyone taught you,Track down whoever exiled you and get answers,Hunt down the crew that left you for dead,Hunt threats that prayer alone could never stop,"Fight a war of your own choosing, on your own terms",Map the wilderness no scholar has dared survey,Stand as the last line between civilization and the deep woods,Never answer to an overseer again,Guard the caravan routes that once left your family stranded
mercenary,Earn a fortune no one can take by birthright,Earn enough to buy back the family's land,Find a cause worth more than just pay,Land one score big enough to finally go straight,Test the order's discipline against real stakes,Trade allegiance for a contract and never look back,Fund real research with mercenary work,Put hard-won survival skills to profitable use,Make them finally pay what you're worth,Build a reputation so that the next employer comes to you
knight,Earn the title everyone assumes was simply handed to you,Protect people the way no one protected your family's land,Prove your honor outlasted whatever cast you out,Build a code of honor strict enough to outweigh your past,Become the sword the temple's prayers were missing,"Earn loyalty through trust, not command",Write a new code of chivalry instead of just following the old one,Bring order and protection to a land that's never had it,Protect people the way you once needed protecting,Defend the trade routes that built your family's name
soldier,"Earn command in the field, not granted by blood",Defend the land your family worked for generations,Find a unit that will actually have your back,Find discipline strict enough to drown out who you were,Prove that conviction and violence can exist in the same hands,Win the war that cost your unit everything,Write the tactics manual that saves the next generation of soldiers,Defend a frontier no general back home cares about,Punish those who abuse their rank,Protect the trade routes your family's business depends on
monk,Find the peace your title never gave you,Bring the land's patient discipline into your own body,"Find a new order, since the old one cast you out",Sever your past so completely you can't be recognized,Surpass the masters who said you'd never master the form,Find stillness after a life spent following orders to act,Prove the body holds answers the mind alone can't reach,Find balance with a wilderness most try to conquer,Reclaim control over a body that once worked for someone else's profit,"Find worth that can't be bought, traded, or appraised"
swashbuckler,Earn infamy bright enough to embarrass the family that disowned you,Live a life with more daring than the fields ever offered,Prove that foreign fighting styles are better than anything here,Build a legend grand enough to outshine the rap sheet,Trade vows of silence for a life loud enough to drown out the shame,"Find glory with style, not just orders and formation",Live the adventures you only ever read about,Duel the greatest prey the wilds have to offer,Earn a name people cheer instead of a job people forget,Outduel every rival your family's business ever made
rogue,Expose the secrets the family spent a fortune burying,Steal back what the tax collectors took,"Rob the person who arranged your exile, then vanish again","Outgrow the gang that raised you, on your own terms",Put the order's secrets to good use — or at least entertaining use,Settle a debt the official channels never would,Get into the locked archives your research actually needs,Track and rob whoever preys on isolated settlements,Collect quiet payback for every wage that gets shorted,Undercut and outsmart the rivals who ruined your family's trade
bard,"Tell the true version of the family story, scandal and all",Turn a quiet rural life into a story worth telling,Collect a thousand stories since your own was taken from you,Turn your past into legend before anyone else can,Trade the choir for a stage with no superior to please,Write the song that finally reveals the war's true cost,Reveal the histories the dusty texts get wrong,Bring the old wilderness songs back to the city,Find a voice loud enough that power finally has to listen,Become the storyteller whose tales are worth more than the goods
barbarian,Earn something through force that no inheritance could buy,Take back what was worked for and never paid,Break whatever cast you out and dare it to try again,Make so much noise they have no choice but to take you seriously,Find an answer to the world's cruelty that doesn't require patience,Earn a reputation so fierce the next war comes to you,Find a truth every book failed to give you,Become the most dangerous thing in the wilderness,Make whoever profited from your sweat pay it back in full,Accumulate enough power that no one can ever shortchange you again
psychic,Prove your mind is worth more than the title you were born into,Master a power your family never had to explain the soil couldn't teach,Find whoever exiled you and make them understand exactly why,Turn the mind games that got you caught into ones no one sees coming,Master a discipline of the mind the order never sanctioned,"Break the chain of command that once broke you, one mind at a time",Prove the mind is a weapon no textbook ever properly described,"Learn what's been reaching into your thoughts since childhood, and reach back",Make the people who dismissed you feel exactly what dismissal costs,Read every rival's intentions before they've finished the sentence
sorcerer,Burn through an inheritance of power no one else was reckless enough to claim,Wield magic wild enough to finally outgrow the family plot,Find a power big enough that no one can exile you from it,Cash in every reckless spell before the debt comes due,Chase a power the order called too dangerous to teach,Win with overwhelming force since discipline alone never was enough,Prove a theory so volatile every other scholar refused to test it,Channel a wild magic too big for anywhere but open sky,Trade a body that broke down working for someone else for power that finally answers to you,Sell spells so reckless no rival will dare match the price
summoner,Build a household of loyal creatures no title could ever buy,"Raise a different kind of herd, one that fights back",Build the family that exiled you a rival army they'll regret ignoring,"Build a crew that never rats you out, because it isn't people",Prove devotion isn't only owed to gods — some things answer to you now,"Command a unit that never questions an order, whatever the cost","Prove the old binding rites work, whatever the old warnings said",Bind the wild things that once hunted you into hunting for you,Never lift the load alone again — let something else carry it,Turn a stable of summoned muscle into the best-protected caravan on the road
